Ax,Ay,Az,Gx,Gy,Gz
1.0317,-0.292,-0.0115,2.458,-0.5267,-7.8168
1.0342,-0.2871,-0.0142,2.7786,-0.2443,-7.7557
1.0337,-0.2944,-0.0093,2.6641,-0.4733,-7.2977
1.0286,-0.2947,-0.0049,2.5802,-0.5267,-7.8779
1.0356,-0.2837,-0.0027,2.6412,-0.3893,-8.1908
1.04,-0.2922,-0.0093,2.4962,-0.542,-7.1908
1.0337,-0.2932,-0.0088,2.6183,-0.4198,-7.3664
1.0269,-0.2847,-0.0046,2.5573,-0.5344,-7.3359
1.0278,-0.2842,-0.0144,2.4122,-0.4733,-6.9237
1.0232,-0.2903,-0.01,2.6489,-0.5038,-6.7634
1.0291,-0.2864,-0.0098,2.458,-0.3435,-7.8092
1.0283,-0.2888,-0.0051,2.7023,-0.2443,-7.5802
1.0229,-0.2883,-0.0107,2.5267,-0.2672,-7.0
1.0376,-0.2903,-0.0151,2.7557,-0.5954,-7.4275
1.0347,-0.2893,-0.0046,2.5573,-0.1679,-7.9771
1.0315,-0.2964,-0.0068,2.5878,-0.3969,-7.5115
1.0269,-0.2944,-0.0127,2.7176,-0.5191,-7.3511
1.032,-0.2825,-0.012,2.7405,-0.4122,-7.7939
1.0239,-0.2898,-0.0046,2.374,-0.7328,-6.7557
1.0352,-0.292,-0.0129,2.5725,-0.5191,-6.9924
1.0293,-0.2971,-0.0027,2.4656,-0.6641,-7.2901
1.0352,-0.2888,-0.0095,2.5191,-0.374,-7.4275
1.0264,-0.2898,-0.0122,2.4351,-0.7099,-6.9771
1.0315,-0.2876,-0.0073,2.5725,-0.5649,-6.7939
1.0259,-0.2852,-0.0051,2.5725,-0.4198,-7.6718
1.0286,-0.2827,-0.0144,2.6412,-0.1908,-7.1832
1.0322,-0.2913,-0.0066,2.7481,-0.5191,-7.3053
1.0278,-0.2898,-0.0146,2.5954,-0.4656,-8.0458
1.0288,-0.2942,-0.0056,2.6412,-0.2443,-7.458
1.032,-0.2952,-0.0073,2.5496,-0.7252,-7.2137
1.0349,-0.2898,-0.0073,2.5802,-0.7481,-7.9237
1.0354,-0.2847,-0.0125,2.5038,-0.374,-7.5115
1.0327,-0.2949,-0.0166,2.5496,-0.5802,-7.1985
1.0356,-0.2898,-0.012,2.626,-0.7252,-7.4122
1.0283,-0.2878,-0.0083,2.542,-0.2672,-7.1985
1.0269,-0.2856,-0.0056,2.4809,-0.4198,-7.5267
1.031,-0.29,-0.0208,2.626,-0.4198,-6.3817
1.0344,-0.2893,-0.0059,2.6031,-0.1679,-7.6641
1.0347,-0.2888,-0.0188,2.6031,-0.6336,-7.916
1.0308,-0.2961,-0.0042,2.5115,-0.3359,-7.3969
1.0247,-0.2815,-0.0161,2.5649,-0.2519,-7.5115
1.031,-0.2869,-0.0156,2.458,-0.458,-7.6412
1.0283,-0.291,-0.011,2.5267,-0.5802,-7.1527
1.0349,-0.2947,-0.0066,2.5878,-0.5878,-7.3969
1.0361,-0.29,-0.0142,2.7786,-0.5191,-8.0992
1.0298,-0.2891,-0.0063,2.4275,-0.4504,-6.7786
1.0308,-0.2888,-0.0085,2.6183,-0.6565,-6.4427
1.0369,-0.2903,-0.0068,2.5038,-0.4351,-6.7786
1.0276,-0.2878,-0.009,2.5878,-0.4885,-7.3053
1.0332,-0.2883,-0.0083,2.4885,-0.4885,-6.9389
1.0322,-0.2935,-0.01,2.7023,-0.4962,-8.0229
1.0266,-0.2878,-0.009,2.5802,-0.3511,-7.771
1.0288,-0.2847,-0.0034,2.4427,-0.3282,-7.2061
1.0359,-0.2866,-0.0176,2.5496,-0.5267,-7.5802
